confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
0.01,0.01,2,100,3.508773116328275e-05,5.958415179135e-05,0.5011119150988905,0.382040520984081,0.6992515677761698,0.7185110950313556,0.0669601464993663,0.08147816845807,0.23975407751350528,0.26717479543582845,5647.0,1.3765560894652438e-07,2.564301219552654e-07,0.0,0.0,0.0005748122843989222,0.001203803085277285,0.0,0.0,0.0010958943361372463,0.0034493045099584525,9.246621004453562,5
0.01,0.01,2,250,5.942991417517728e-05,0.00010736612991082,0.5011119150988905,0.382040520984081,0.6830861070911722,0.7107954655089243,0.0669601464993663,0.08147816845807,0.22673293894800692,0.23503044517950636,3062.0,9.860196317828111e-08,1.220886865027293e-07,0.0,0.0,0.00021735122267387366,0.000426194331353623,0.0,0.0,0.0015114796295632505,0.001419113486676182,3.741657386773953,5
0.01,0.01,2,500,0.00010073756973068,0.00020162955293902,0.5011119150988905,0.382040520984081,0.6569327062228654,0.6939206464061746,0.0669601464993663,0.08147816845807,0.21242350567210586,0.2250546898114237,1546.8,2.7840400854089913e-07,5.88317686684762e-07,0.0,0.0,0.00045924519856284,0.0008336644325670253,0.0,0.0,0.002009094996916499,0.002311459192424678,2.387467277262644,5
0.01,0.01,2,1000,0.00017245564668532,0.00037582540499923997,0.5011119150988905,0.382040520984081,0.6365931017848528,0.6772867824409069,0.0669601464993663,0.08147816845807,0.1972419516097592,0.22140935197091505,785.6,3.28478324424411e-07,1.7436890744174643e-06,0.0,0.0,0.0005820632764579278,0.00123178775223093,0.0,0.0,0.0012114568877278956,0.0012240061855872432,2.9664793948382613,5
0.01,0.01,3,100,4.3489996945601366e-05,7.585360189541706e-05,0.5011119150988905,0.382040520984081,0.6915190545103714,0.7141336227689339,0.0669601464993663,0.08147816845807,0.2267735699528483,0.2501228160970565,4378.4,3.785933629927994e-07,9.017482776135285e-07,0.0,0.0,0.0007805462366165781,0.0015689338558433257,0.0,0.0,0.002164108317525403,0.0034376244917329072,35.29589211225569,5
0.01,0.01,3,250,6.227968734223847e-05,0.00011526942032487999,0.5011119150988905,0.382040520984081,0.6795928605885191,0.7123794018330921,0.0669601464993663,0.08147816845807,0.22464621125707632,0.24399912849683805,2865.8,2.829591788631578e-07,3.6337612621534425e-07,0.0,0.0,0.0008619308843322065,0.0012118366674615272,0.0,0.0,0.0047333773816876515,0.0029386798973937704,6.534523701081813,5
0.01,0.01,3,500,0.00010318198573582001,0.00020730537141286002,0.5011119150988905,0.382040520984081,0.655595513748191,0.6924170284611674,0.0669601464993663,0.08147816845807,0.20940173759907696,0.22544810160125764,1497.2,5.855925641702412e-07,9.461715023167739e-07,0.0,0.0,0.0008560594428506004,0.0013205238803828821,0.0,0.0,0.0023255127018410467,0.0031100640092840467,3.70135110466434,5
0.01,0.01,3,1000,0.000177509347122,0.0003779929655548,0.5011119150988905,0.382040520984081,0.6376840328027014,0.6728671008200676,0.0669601464993663,0.08147816845807,0.2025057441999109,0.22733178898251846,769.4,2.0429738863249084e-06,1.048399955442631e-06,0.0,0.0,0.0011914740630434926,0.0007275381659887383,0.0,0.0,0.001664147057331757,0.005750055176300608,2.3021728866442546,5
0.01,0.1,2,100,3.522092983520722e-05,5.9639963363317094e-05,0.5011119150988905,0.382040520984081,0.6995779064158224,0.7181049204052098,0.0669601464993663,0.08147816845807,0.24156664189684215,0.26491790108743024,5635.0,1.7306548341842753e-07,2.996204203121889e-07,0.0,0.0,0.0003262386606685602,0.0005786523243543541,0.0,0.0,0.0007801015237331284,0.004028430409566115,29.974989574643725,5
0.01,0.1,2,250,5.955716370824214e-05,0.00010719794789138,0.5011119150988905,0.382040520984081,0.6836184273999035,0.7105373854317414,0.0669601464993663,0.08147816845807,0.22745478494135174,0.23765734079447767,3064.4,1.9685584727182455e-07,1.5612061771818236e-07,0.0,0.0,0.0004948314879379861,0.00030413293990179407,0.0,0.0,0.0017384726542980491,0.0020141386116314984,5.079370039680158,5
0.01,0.1,2,500,0.00010074956083728,0.00020069327777829998,0.5011119150988905,0.382040520984081,0.6570330438977328,0.6926307284129282,0.0669601464993663,0.08147816845807,0.21310338120486202,0.22415247540159555,1547.6,5.140532548102006e-07,9.874768304040196e-07,0.0,0.0,0.0011425304467797103,0.0010916927494173956,0.0,0.0,0.0014590044344035536,0.002388337348994804,4.878524367060192,5
0.01,0.1,2,1000,0.00017254290930698,0.0003765223863545,0.5011119150988905,0.382040520984081,0.6366601543656536,0.6778350217076701,0.0669601464993663,0.08147816845807,0.19642540521660012,0.22213906385569845,785.6,1.525619334081855e-06,1.7898960758134166e-06,0.0,0.0,0.0010031319712142785,0.0010983224057135132,0.0,0.0,0.0012607441743462942,0.0018846118511862784,1.5165750888103045,5
0.01,0.1,3,100,4.329350441837009e-05,7.554275061530784e-05,0.5011119150988905,0.382040520984081,0.6914257115291847,0.7141123974915582,0.0669601464993663,0.08147816845807,0.22746634438359278,0.2523830158377861,4396.0,2.1884497643377006e-07,6.717850975918528e-07,0.0,0.0,0.0007362892912324258,0.0015269144845619187,0.0,0.0,0.0019871963945352175,0.0049563639712388065,30.405591591021583,5
0.01,0.1,3,250,6.234669778834315e-05,0.00011541988729884001,0.5011119150988905,0.382040520984081,0.6796095031355524,0.7124862518089725,0.0669601464993663,0.08147816845807,0.22200763250941252,0.23885791931564673,2863.0,2.780904709779151e-07,3.523014257957216e-07,0.0,0.0,0.0006077731247081536,0.0006977073511764542,0.0,0.0,0.0032578382269715044,0.00478970492791642,6.892024376045111,5
0.01,0.1,3,500,0.00010368470561784,0.00020922372794975999,0.5011119150988905,0.382040520984081,0.6555185721177038,0.6936131210805596,0.0669601464993663,0.08147816845807,0.21154200725534517,0.22532801001237007,1489.2,3.3042771686849105e-07,7.125033916238721e-07,0.0,0.0,0.0006206501208420212,0.00019434086831835996,0.0,0.0,0.002422707707553278,0.0023546034880394602,5.93295878967651,5
0.01,0.1,3,1000,0.0001771055045025,0.00037799359320202003,0.5011119150988905,0.382040520984081,0.6374068982151472,0.6729409068982152,0.0669601464993663,0.08147816845807,0.20161275744053359,0.22154202484141566,769.6,2.160357939461789e-06,1.8748600553571085e-06,0.0,0.0,0.0011312880732109538,0.0011118158821975667,0.0,0.0,0.0013471704072105955,0.0028650319499409927,3.435112807463529,5
0.1,0.01,2,100,2.8134743500249013e-05,4.740200194463963e-05,0.5011119150988905,0.382040520984081,0.7082899179932465,0.7310986493005307,0.0669601464993663,0.08147816845807,0.2549052361357561,0.2662937229188075,7363.8,6.024484534739951e-08,7.99844675448871e-08,0.0,0.0,0.00012443545375529744,0.00032608036110444633,0.0,0.0,0.0017673055567072788,0.0008207228117233884,13.33041634758653,5
0.1,0.01,2,250,5.6824108753025584e-05,0.0001024040523692,0.5011119150988905,0.382040520984081,0.685028702363724,0.7134807042932947,0.0669601464993663,0.08147816845807,0.22664948834389792,0.24066928048385328,3236.6,8.310124772770646e-08,3.384290019829271e-07,0.0,0.0,0.00025816797489702656,0.0008527328300220839,0.0,0.0,0.0004599936162045525,0.0020482893091646605,3.974921382870356,5
0.1,0.01,2,500,9.757013312791112e-05,0.00019316475483222,0.5011119150988905,0.382040520984081,0.659,0.6946193921852388,0.0669601464993663,0.08147816845807,0.2171554222981559,0.22338453088073812,1618.2,7.343324658578611e-07,8.147269864014257e-07,0.0,0.0,0.0012125083880481179,0.0012484178130116792,0.0,0.0,0.0022812572669563334,0.002113709152338009,1.4832396974191575,5
0.1,0.01,2,1000,0.00017077311314724,0.00036278376234698,0.5011119150988905,0.382040520984081,0.6399850458273034,0.6770559575494453,0.0669601464993663,0.08147816845807,0.20047372808701108,0.22033790563025013,813.2,7.548494183149583e-07,7.777194596283662e-07,0.0,0.0,0.0007398840546021642,0.000506261279768941,0.0,0.0,0.0009256939050300365,0.001766342454907392,0.8366600265340688,5
0.1,0.01,3,100,2.88533811905808e-05,4.865333404034092e-05,0.5011119150988905,0.382040520984081,0.7067672455378678,0.7288207911239749,0.0669601464993663,0.08147816845807,0.24664022499863236,0.26636094767571944,7127.6,3.828586527565892e-08,1.475399102622807e-07,0.0,0.0,0.00040248597073025633,0.0005735957405230108,0.0,0.0,0.0027823944576638835,0.0030254071289341883,11.104053313993015,5
0.1,0.01,3,250,5.740565426250459e-05,0.00010268741597324,0.5011119150988905,0.382040520984081,0.6853601061263869,0.7116251808972504,0.0669601464993663,0.08147816845807,0.233007032580944,0.2348466748590039,3209.6,1.764150514912475e-07,1.2611778841888168e-07,0.0,0.0,0.00047197090659976525,0.0007769019652123217,0.0,0.0,0.002904474081262982,0.005686972774567702,10.47854951794377,5
0.1,0.01,3,500,9.744566634154366e-05,0.00019332377397985999,0.5011119150988905,0.382040520984081,0.6587788229618909,0.6948379160636758,0.0669601464993663,0.08147816845807,0.2184189225885596,0.22230119892318806,1618.0,3.3633886719014606e-07,1.0699217869514327e-06,0.0,0.0,0.0005034454219580384,0.001654493587543854,0.0,0.0,0.0011865504442179716,0.002206236641244159,1.732050807568861,5
0.1,0.01,3,1000,0.00016858438493744,0.00036186502250174,0.5011119150988905,0.382040520984081,0.6383396044380125,0.6765986493005307,0.0669601464993663,0.08147816845807,0.19636010225380676,0.2220777888191326,814.0,1.299080422265787e-06,1.932386927409121e-06,0.0,0.0,0.0010574514637067425,0.0015729629589148338,0.0,0.0,0.0028195156163887862,0.0006528022256359105,0.0,5
0.1,0.1,2,100,2.8098779166012168e-05,4.740013195356982e-05,0.5011119150988905,0.382040520984081,0.7079524843222382,0.7309621321755909,0.0669601464993663,0.08147816845807,0.25506119754245254,0.2669198692405099,7361.2,4.7970432748591126e-08,5.727373007450711e-08,0.0,0.0,0.0002638695057273309,0.00022998611122680926,0.0,0.0,0.0018814464816813625,0.0013369749973219935,6.140032573203495,5
0.1,0.1,2,250,5.681693846068094e-05,0.00010227491209872,0.5011119150988905,0.382040520984081,0.6850624698504583,0.7131657018813314,0.0669601464993663,0.08147816845807,0.226316614388749,0.23891082480667722,3237.6,7.135504622921948e-08,1.0179803573108534e-07,0.0,0.0,0.0002800766178468758,0.00027611055003839486,0.0,0.0,0.0022812290186442906,0.0012040088124394153,1.6733200530681545,5
0.1,0.1,2,500,9.725815304077205e-05,0.00019300144526532,0.5011119150988905,0.382040520984081,0.6585147129763628,0.6943931500241196,0.0669601464993663,0.08147816845807,0.21654212962541147,0.22257981948240563,1618.4,4.980829477064694e-07,5.753906355383927e-07,0.0,0.0,0.0009294025876714818,0.0008316777835749557,0.0,0.0,0.002402361643168137,0.0018184223612092553,3.781534080237805,5
0.1,0.1,2,1000,0.00017165870184629998,0.00036148949311844,0.5011119150988905,0.382040520984081,0.6407732754462132,0.6761480945489629,0.0669601464993663,0.08147816845807,0.20126308345318594,0.21878133380133433,813.6,6.092322483437167e-07,1.4668239776455034e-06,0.0,0.0,0.00046239875534920505,0.0011501091902986233,0.0,0.0,0.0006081731875607232,0.001813138307161747,0.8944271909999143,5
0.1,0.1,3,100,2.8798575436331534e-05,4.851989964875361e-05,0.5011119150988905,0.382040520984081,0.7070139893873613,0.728943801254221,0.0669601464993663,0.08147816845807,0.2470036389947495,0.2649211793173148,7149.8,1.0306160450816885e-07,2.3524057057369643e-07,0.0,0.0,0.00038371543369918856,0.0009350015623389772,0.0,0.0,0.0037997582712764933,0.002259992300954603,27.408028021001478,5
0.1,0.1,3,250,5.768971722869858e-05,0.00010349595185778001,0.5011119150988905,0.382040520984081,0.6859037626628075,0.7135581283164496,0.0669601464993663,0.08147816845807,0.2341214325596829,0.23253179620715742,3203.2,1.8291340455978753e-07,4.5132720212646167e-07,0.0,0.0,0.0006657360717815181,0.0012946028134280065,0.0,0.0,0.0011388162026143046,0.0010297121448617891,3.114482300479513,5
0.1,0.1,3,500,9.702826642672756e-05,0.00019267987152484,0.5011119150988905,0.382040520984081,0.6578878437047757,0.693369030390738,0.0669601464993663,0.08147816845807,0.21861695441734857,0.22072743270733422,1615.8,8.555605875849233e-07,1.2458832367860855e-06,0.0,0.0,0.0010652834815400734,0.0013402072172332992,0.0,0.0,0.002696543651152259,0.003026208525972487,3.898717737923577,5
0.1,0.1,3,1000,0.00016880037436146,0.00036013098437138,0.5011119150988905,0.382040520984081,0.6387515677761698,0.6756915098890497,0.0669601464993663,0.08147816845807,0.19605375102001238,0.22096290670526905,815.4,1.4654728644153346e-06,1.2950070887707593e-06,0.0,0.0,0.0011795861382089125,0.0011638565388714264,0.0,0.0,0.000976656371858118,0.0023405373172434613,0.8944271909999183,5
